year,total_ghg,co2,temperature_change_from_co2,temperature_change_from_ghg,coal_pc1,oil_pc1,gas_pc1,cement_pc1,land_use_pc1,ghg_pc1,nonco2_ghg_pc1
1946,14398.191,4608.547,0.271,0.376,0.4464882148154826,0.2166152103421047,0.07684283352211864,0.0704677685765592,0.32263268361560593,0.4638159994657464,0.23072487827851376
1947,15127.644,5165.206,0.276,0.383,0.4612570551758617,0.2230512066144713,0.07850471632345142,0.07262065295623002,0.3210206971776069,0.469965724671526,0.24893694869286437
1948,15441.084,5447.885,0.281,0.391,0.4657423224806543,0.22883606956265942,0.08073166000327522,0.07529608820435349,0.3086728035562853,0.4729611412261567,0.2623309380069922
1949,15218.637,5204.035,0.285,0.398,0.458361679126723,0.22526460304644305,0.08213633267493177,0.07736046336519659,0.29803779802605795,0.47091885078764384,0.2729695673076747
1950,16669.635,5930.244,0.291,0.406,0.4711238039516814,0.23719185321167618,0.08577686122268616,0.08010424914885607,0.40293791236166077,0.47724289588124796,0.2828818565573567
1951,17591.742,6381.429,0.297,0.415,0.4902164341204569,0.2596244367073467,0.10021045737280791,0.08945598180144335,0.42067325152487506,0.5097262549375368,0.2927115714400111
1952,17698.887,6467.46,0.302,0.424,0.4774693707116554,0.2711399494681339,0.10646839193902499,0.09321095436435749,0.43601325262209784,0.5044826766806932,0.30063912905374374
1953,18106.271,6650.885,0.308,0.434,0.47487753610822425,0.2851861264839325,0.11157129104818028,0.10254189837480017,0.45400104177556505,0.5106159811379065,0.30943740526076563
1954,18767.93,6789.529,0.314,0.443,0.4678896030257769,0.29829789926666817,0.11663156360616439,0.10930471230112894,0.4765952013185937,0.5219679159475187,0.3191144363515594
1955,19766.9,7443.896,0.321,0.454,0.49961337231838276,0.32962843268457687,0.1257570304177857,0.11910875541007426,0.49674404697372754,0.5607831197520605,0.33412741999790324
1956,20498.287,7926.013,0.328,0.464,0.5181249380911097,0.35352668386685504,0.13310192872280296,0.1285190742359781,0.5163871651489271,0.5838893296653109,0.34605944492649754
1957,21006.021,8185.645,0.334,0.475,0.5204595599327679,0.36436778127869823,0.14499668636043556,0.1325839865545025,0.5368062986451412,0.5925379077628417,0.3581491177740478
1958,21251.504,8417.188,0.341,0.487,0.5212356324061471,0.37441056030809083,0.15595596636859463,0.13923781759928539,0.5510620024706414,0.5932202589587128,0.36846275256385647
1959,22477.309,8854.689,0.349,0.499,0.5356904418166915,0.39413427743101737,0.1659902220803282,0.15288156273685538,0.582029773337531,0.6278536791987381,0.3850823357667532
1960,22127.307,9387.011,0.356,0.511,0.5518251813156143,0.41994402909762635,0.1808841223036909,0.1632673728464228,0.5657000490968577,0.6259661640481268,0.39850342153738133
1961,22371.979,9415.042,0.363,0.523,0.5233461200274576,0.44070181896831956,0.18920461643747932,0.16976654899282698,0.5817941697165115,0.6207489236055876,0.41398299151582785
1962,22341.621,9747.287,0.37,0.535,0.5154214550341152,0.46823272027334784,0.20520316661860463,0.17798897758124715,0.579335005628109,0.6174225019394759,0.4267545519891224
1963,22862.531,10266.772,0.377,0.548,0.5268733334241804,0.49345313322983286,0.21891706982536482,0.18539088476380886,0.5882568442582639,0.6319147875984823,0.44207456544041535
1964,23258.209,10824.466,0.385,0.561,0.530266713743411,0.5249662407947142,0.23769684162032767,0.20267620987077703,0.5911044512911985,0.6420864248808911,0.457195351782819
1965,23714.189,11310.601,0.392,0.574,0.5308651845669848,0.5564182265231077,0.25039374478208437,0.2102875783719168,0.5945646794427573,0.653636960790426,0.47559914978443896
1966,24118.213,11862.646,0.4,0.588,0.5302607526028621,0.5925938687867637,0.26939908495561105,0.2220690623200097,0.5892533910801176,0.6667606183386168,0.49849464623591977
1967,24786.098,12237.369,0.408,0.602,0.5149685225447166,0.6240148450310137,0.28453695727655703,0.22642092089601473,0.6076095131394521,0.6762666888353814,0.5128280161853565
1968,25522.775,12905.283,0.416,0.616,0.5140316272373984,0.6714197492918776,0.3056555667235864,0.23782883924435783,0.6152601595597113,0.6955005473066093,0.5276120159432606
1969,27101.105,13761.785,0.424,0.631,0.5266298059878525,0.7168092698683552,0.33060707939945344,0.24921659890940917,0.6505306649470564,0.7388912329154211,0.5452665747747422
1970,28266.83,14899.124,0.433,0.647,0.537283028265932,0.8049218356769893,0.3422404658773055,0.261331016111242,0.6544966396780181,0.777006140887107,0.5582141323323323
1971,28280.381,15503.854,0.442,0.663,0.5310545951253715,0.8422180498030457,0.3649243960166345,0.2703834154883135,0.6345286100674741,0.7763736718547529,0.5573918280868297
1972,29437.508,16224.597,0.452,0.679,0.524027177041134,0.897658270921258,0.3827505469877406,0.28487130548872447,0.6585584317071572,0.8019263053093173,0.5752121575455766
1973,30340.881,17085.094,0.462,0.696,0.5337159706824252,0.9397299747931469,0.4060988157268457,0.2973974008009054,0.6594646994551647,0.8272045355246367,0.5942536918696986
1974,30245.189,17011.072,0.471,0.712,0.5277919489945204,0.915670130534211,0.4112818396931396,0.29317080121621664,0.662114809422753,0.8076444035830173,0.5986358083421233
1975,30411.125,17052.752,0.481,0.729,0.5377983657222958,0.8981418663248929,0.40600710590770106,0.2907611057835986,0.6655001877619633,0.797177797188307,0.6140401274075431
1976,31535.469,17989.111,0.491,0.745,0.5522488969610082,0.9446216561461209,0.4251587773132216,0.30023148285954704,0.6745482934277046,0.827484518410633,0.6286585927884081
1977,32603.043,18498.635,0.502,0.763,0.5599477174129082,0.9679077653181123,0.43028404472071624,0.3098524201013305,0.7087955899839179,0.844429147534316,0.6415828966926409
1978,33151.207,19069.291,0.513,0.78,0.5641054308767639,0.9925038875361313,0.4447063002190772,0.3287104374844796,0.7101022341259824,0.8536579383780181,0.6510085557931804
